"","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S%","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","PPS","FIC40","ORtg","DRtg","eDiff","Poss","Pace","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","Conference","State","TER","Cluster"
"1","Gonzaga",32,39.9,87.2,32.7,62.6,0.521,8.2,22.1,0.37,13.7,19.2,0.713,9.2,31.3,40.4,18.1,6.4,5.8,11.5,15.5,0.608,0.587,160.5,28.5,77.5,55.8,55.3,13.8,8.6,13.4,1.4,76.8,117.2,89,28.2,2381.4,74.6,1.553,1.6,0.6,0.219,28,4,0.875,"WCC","WA",2.98911258997208,4
"2","South Dakota State",35,40.2,85.9,30.8,59.1,0.521,9.3,20.9,0.445,14.9,19.7,0.758,7.1,27.3,34.4,15.1,6.1,2.5,11,15.3,0.627,0.6,172.4,23.9,77.7,53.2,49,13.8,8.4,6.9,1.5,66.5,118.5,101,17.5,2535.2,72.1,1.49,1.4,0.6,0.253,30,5,0.857,"Summit","SD",2.10876650258468,4
"3","Arizona",37,40.2,84,30.2,61.3,0.492,7.8,22,0.352,15.8,21.4,0.739,11.2,29,40.2,19.6,6.7,5.7,13.4,16.7,0.587,0.556,158.3,34.3,72.4,55.3,65,15.8,9.1,13.4,1.4,72.7,113.7,92.1,21.5,2733.4,73.5,1.65,1.5,0.5,0.258,33,4,0.892,"Pac-12","AZ",2.28126674943762,4
"4","Oral Roberts",31,40.3,83.3,30.2,66.2,0.456,11.6,30.6,0.379,11.2,15.4,0.73,10.3,28.6,38.9,11.7,5.5,4.2,9.9,15.4,0.566,0.544,156.5,28.5,77.1,53.2,38.8,11.9,7.5,10.2,1.3,62.9,113.7,101.5,12.2,2271.5,72.7,1.388,1.2,0.6,0.17,19,12,0.613,"Summit","OK",1.35928267143054,4
"5","Iowa",36,40.2,83.2,29.8,64.5,0.461,9.2,25.3,0.363,14.5,19.4,0.749,11.2,24.5,35.7,16,7.3,4.3,9.2,16.2,0.564,0.533,157.3,31.4,70.5,50.7,53.9,11.1,10.3,11.3,1.3,67.2,116.5,99.7,16.8,2569.9,71.1,1.539,1.7,0.8,0.225,26,10,0.722,"Big Ten","IA",1.76376600887881,4
"6","UAB",35,40.4,80.3,29.6,63.2,0.468,7.9,20.9,0.377,13.3,18,0.739,11.4,25.5,37,13,9.6,4.1,11.5,16.5,0.56,0.53,158.4,33.1,73.1,53.2,43.9,13.8,13.3,11.5,1.3,63.1,111.7,92.8,18.9,2516.8,71.3,1.439,1.1,0.8,0.21,27,8,0.771,"C-USA","AL",2.19204248382402,4
"7","Bowling Green",31,40.3,80.3,28.4,65.3,0.435,8.2,24.2,0.34,15.2,20.5,0.739,11.5,25.7,37.2,12.6,7.3,3.4,12.3,17.7,0.535,0.498,151.4,30.5,71.2,50.4,44.3,14.1,9.7,9.4,1.2,56.1,106.3,106.6,-0.3,2341.6,75,1.443,1,0.6,0.233,13,18,0.419,"MAC","OH",0.151780943459986,2
"8","Duke",39,40,80.1,29.7,60.4,0.491,7.9,21.6,0.366,12.8,17.3,0.738,9.9,26.8,36.7,16.5,6.4,5.6,10.3,13.6,0.583,0.557,159.5,31,71.5,52.9,55.4,13,9.3,13.4,1.3,69.6,116.1,98.3,17.8,2689.7,68.9,1.554,1.6,0.6,0.211,32,7,0.821,"ACC","NC",2.21583562132099,4
"9","Buffalo",30,40,79.9,29.7,65.2,0.455,8.5,24.9,0.342,12,17,0.709,13.7,27.7,41.4,15,7.1,4.6,13.2,17.1,0.545,0.52,150.6,37.1,73.4,55.4,50.6,15.3,9.7,10.8,1.2,64.2,109.4,98.9,10.5,2192.9,73.2,1.506,1.1,0.5,0.184,19,11,0.633,"MAC","NY",1.43661036829565,4
"10","Toledo",34,40,79.9,29.9,62.4,0.479,6.9,19.5,0.354,13.2,17.5,0.754,10.3,28.7,39,15.3,5.6,2.8,10.2,15.1,0.565,0.535,158.7,30.2,73.4,53.3,51.1,12.6,7.9,7.5,1.3,64.2,113.2,97.2,16,2401,70.6,1.511,1.5,0.5,0.211,26,8,0.765,"MAC","OH",1.71023144951065,4
"11","Princeton",30,40.5,79.8,30.3,62.2,0.488,10.9,28.2,0.387,8.3,12.9,0.639,8.3,26.1,34.4,15.5,6.2,1.8,10.1,14,0.584,0.575,151.3,24.7,77.4,51.1,51,12.9,8.9,4.4,1.3,61.8,113.9,100,13.9,2102.7,69.2,1.51,1.5,0.6,0.133,23,7,0.767,"Ivy","NJ",1.10350644333825,4
"12","St. John's",32,40.3,79.6,30.3,66.8,0.453,7.3,21.6,0.335,11.8,17.4,0.677,11.2,25.3,36.5,18.8,8.8,5.5,11.9,17.9,0.53,0.508,146.6,29.9,69.2,49.3,61.9,13.7,11.8,14.5,1.2,64.9,105.5,98.3,7.2,2415.2,75,1.619,1.6,0.7,0.176,17,15,0.531,"Big East","NY",0.472988299668904,4
"13","Alabama",33,40.1,79.5,27.6,62.8,0.44,9.2,29.9,0.309,15,20.6,0.728,12.5,25.5,38,14.7,7.1,4.7,14.5,18.5,0.547,0.513,147.7,34.5,70.1,52.3,53.1,16.7,9.6,11.9,1.3,58.7,107,103,4.1,2450.7,74,1.531,1,0.5,0.239,19,14,0.576,"SEC","AL",0.467040015294666,2
"14","Kentucky",34,40.2,79.4,30.3,62.8,0.483,6.1,17.6,0.347,12.8,17.6,0.726,12.2,26.3,38.6,16.2,6.8,4.2,11.6,14.3,0.559,0.531,155.5,37,76.2,57,53.4,14.1,9.7,11.1,1.3,65.8,112.7,94.4,18.3,2397.4,70.1,1.534,1.4,0.6,0.203,26,8,0.765,"SEC","KY",1.53773120265772,4
"15","Purdue",37,40.4,79.4,27.7,56.6,0.49,8.5,22.2,0.384,15.4,21.6,0.711,10.5,26.8,37.3,16.2,4.6,3.5,11.8,14.5,0.593,0.565,158.5,34.8,77.5,57.7,58.6,15,6.8,9.7,1.4,64.1,116.5,100.5,16,2519.5,67.5,1.586,1.4,0.4,0.272,29,8,0.784,"Big Ten","IN",1.9005765494863,4
"16","Eastern Kentucky",31,40.8,79.3,28.6,68.5,0.417,11.7,33.2,0.353,10.3,14.6,0.706,12,22.9,35,15.7,10.2,3.6,11.6,16.5,0.525,0.503,147.7,29.6,69.4,47.4,54.8,13.3,13.6,10.1,1.2,60,105.9,100.3,5.6,2321.2,73.4,1.548,1.4,0.9,0.151,13,18,0.419,"A-Sun","KY",0.270746630944769,2
"17","Cornell",26,40.2,79.2,28.3,60.6,0.467,9.7,27.7,0.348,13,18.4,0.707,9.6,27.6,37.2,17.3,7.9,2.9,14.2,18.7,0.571,0.546,152.2,27.9,73,51.5,61.2,17,10.6,8.3,1.3,61.5,106.7,100.6,6.1,1929.3,73.9,1.612,1.2,0.6,0.215,15,11,0.577,"Ivy","NY",1.22247213082304,2
"18","Murray State",34,40.2,79.1,28.8,60.5,0.476,8,22.8,0.351,13.6,19.6,0.692,11.7,26.1,37.8,14.7,7.8,3.2,11.4,15.4,0.567,0.542,151.8,35.1,76.1,55.9,51.2,14.1,11.4,9.5,1.3,64,114.3,91.3,22.9,2353.9,69,1.512,1.3,0.7,0.225,31,3,0.912,"OVC","KY",2.27531846506337,4
"19","Virginia Military",32,40.4,79,27.4,59.6,0.459,12.5,32.8,0.381,11.8,14.9,0.792,7.8,27.3,35.2,16,4.8,2.7,11.6,14.9,0.593,0.564,163.3,24,72,49.8,58.3,14.8,6.8,8,1.3,60.9,112.2,105.4,6.8,2254.3,69.7,1.583,1.4,0.4,0.198,16,16,0.5,"SoCon","VA",0.829885362123251,2
